fake,std_review_len,tfidf_review_body,n_of_reviews,avg_review_rating,avg_days_between_reviews,stdev_days_between_reviews,max_days_between_reviews,min_days_between_reviews,share_helpful_reviews,share_1star,share_5star,share_photo,pagerank,eigenvector_cent,w_degree,clustering_coef,product_ID
0,226.1777602412494,0.0354700825200047,1265,4.192885375494071,0.5537974683544213,0.9188540541802662,13.0,0.0,0.1043478260869565,0.1019762845849802,0.6624505928853754,0.1264822134387351,0.0009044945970352,0.0299211220491082,583,0.2628371035147278,1217
0,190.42799495135944,0.0380280510706748,286,3.9615384615384617,2.7859649122806944,4.176537357014676,35.0,0.0,0.1993006993006993,0.1398601398601398,0.583916083916084,0.0804195804195804,0.0002337682682273,0.0084452978490226,137,0.3156862745098039,1090
1,246.38844174823595,0.0520707894347029,1519,4.105990783410138,0.2318840579710069,0.4778390240342939,5.0,0.0,0.0947992100065832,0.1500987491770901,0.6984858459512837,0.2014483212639894,0.0024553786323632,0.0647324009002107,2100,0.2854454882638005,2560
0,177.68720727415973,0.0294211520807233,131,4.076335877862595,4.323076923076921,7.408580176160278,52.0,0.0,0.0916030534351145,0.0916030534351145,0.5648854961832062,0.0381679389312977,0.0002378310661386,0.0107833209693954,142,0.4560490400185056,1699
1,214.42810062761876,0.0433314471952507,671,4.323397913561848,0.6044776119402894,1.0274168103494328,13.0,0.0,0.1564828614008941,0.1013412816691505,0.7660208643815202,0.187779433681073,0.0011073236259724,0.0385792536666148,821,0.2719292780350702,2168
1,203.6568809231597,0.0308005580423538,1591,3.7052168447517286,0.5389937106918171,0.7793279405864121,9.0,0.0,0.1062225015713387,0.2551854179761156,0.5971087366436204,0.0672532998114393,0.0010471674179863,0.0395049127009332,757,0.2931990032651658,918
0,245.2617098928632,0.0477185320939595,2531,4.494271039114975,0.1806324110671875,0.4492650243855324,5.0,0.0,0.2105887001185302,0.0568945080995653,0.7736072698538127,0.1438166732516791,0.0039297331075752,0.0726013729145206,3217,0.1984295057437976,1942
0,146.44689468957426,0.0293929121630952,741,4.421052631578948,1.6270270270270255,2.352857779091748,31.0,0.0,0.1862348178137652,0.0809716599190283,0.7557354925775979,0.0256410256410256,0.0003492333222618,0.0042201483344969,137,0.1546056742907136,627
1,170.01957306204716,0.0391910634692317,237,4.274261603375527,2.4322033898304976,4.873687604791134,39.0,0.0,0.1772151898734177,0.0632911392405063,0.6835443037974683,0.1181434599156118,0.0006791400938423,0.0280839434174511,480,0.3208768494342907,2111
1,169.9764467923625,0.0384722827534248,3796,4.76159114857745,0.1038208168642939,0.3523752515590393,7.0,0.0,0.1870389884088514,0.0355637513171759,0.8948893572181243,0.065595363540569,0.0012377903858774,0.0446068585152471,942,0.315299863021857,2212
1,372.0093138149004,0.0310385845760331,292,4.595890410958904,1.8865979381443287,4.156945883183935,43.0,0.0,0.1712328767123287,0.0171232876712328,0.7397260273972602,0.0445205479452054,0.0001208648458486,0.0018153869739171,36,0.1857142857142857,3052
0,325.1594319365737,0.0405903529531229,1149,4.025239338555266,1.1898954703832638,1.900902091053137,26.0,0.0,0.288946910356832,0.1166231505657093,0.5839860748476936,0.0548302872062663,0.0003970453409196,0.0077339106229529,206,0.1875391576749042,565
1,261.348635346056,0.0430282533616089,433,3.6096997690531176,1.0625,1.4201994075863311,12.0,0.0,0.1501154734411085,0.2702078521939954,0.5750577367205543,0.1685912240184757,0.0001840268982235,0.0075950641853156,104,0.3547233326320219,1999
0,218.49485229859,0.0337251586939918,233,3.905579399141631,4.452586206896551,11.931528760555569,158.0,0.0,0.1888412017167382,0.167381974248927,0.6094420600858369,0.0515021459227467,0.0002392122505055,0.0095865514129211,142,0.3514973576042278,1218
0,240.02947643611145,0.0313829881691265,430,3.3046511627906976,1.773892773892766,3.324740028859954,31.0,0.0,0.1116279069767441,0.3023255813953488,0.4488372093023255,0.0186046511627906,0.0001358271190531,0.0023599598289202,48,0.2016651248843663,838
1,167.35972142755875,0.0426063953157662,633,4.7725118483412325,0.4825949367088541,0.7758319948018055,6.0,0.0,0.1026856240126382,0.0284360189573459,0.8988941548183255,0.1453396524486571,0.0014224992081284,0.046757933563888,1138,0.3004023175978998,2806
1,242.3075159429459,0.0452028410693711,827,4.417170495767835,0.372881355932199,0.6524104883433912,7.0,0.0,0.1076178960096735,0.0894800483675937,0.7920193470374849,0.1789600967351874,0.001622167098011,0.055862169966953,1362,0.3173525182129932,2787
1,162.15739742133732,0.023004050378137,26,4.076923076923077,3.96,5.191980996369942,19.0,0.0,0.1538461538461538,0.1538461538461538,0.6923076923076923,0.2307692307692307,9.723196626362377e-05,0.0035052999957583,42,0.6205128205128205,3399
1,217.5946203718637,0.0485635037815201,213,4.661971830985915,1.1226415094339584,1.2671783049979282,7.0,0.0,0.0704225352112676,0.0516431924882629,0.8779342723004695,0.1455399061032863,0.0004752129228703,0.0262727841172304,381,0.5629078893019414,3210
