fake,std_review_len,tfidf_review_body,n_of_reviews,avg_review_rating,avg_days_between_reviews,stdev_days_between_reviews,max_days_between_reviews,min_days_between_reviews,share_helpful_reviews,share_1star,share_5star,share_photo,pagerank,eigenvector_cent,w_degree,clustering_coef,product_ID,num_images,num_product_images,num_reviews,min_sim,max_sim,mean_sim,std_sim,min_sim_review,max_sim_review,mean_sim_review,std_sim_review,min_sim_product,max_sim_product,mean_sim_product,std_sim_product
0,226.1777602412494,0.0354700825200047,1265,4.192885375494071,0.5537974683544213,0.9188540541802662,13.0,0.0,0.1043478260869565,0.1019762845849802,0.6624505928853754,0.1264822134387351,0.0009044945970352,0.0299211220491082,583,0.2628371035147278,1217,287.0,1.0,135.0,0.3664221576193471,0.958093950021489,0.6642571610482736,0.0830897661074751,0.3974503890043863,0.9276872874033988,0.6586884155474474,0.0724664408400397,0.4877084680010795,0.832800925486765,0.70528516635525,0.0607331116274299
0,190.42799495135944,0.0380280510706748,286,3.9615384615384617,2.7859649122806944,4.176537357014676,35.0,0.0,0.1993006993006993,0.1398601398601398,0.583916083916084,0.0804195804195804,0.0002337682682273,0.0084452978490226,137,0.3156862745098039,1090,41.0,2.0,19.0,0.4544829092270079,0.9472080338853563,0.7073425984986192,0.0942957135260858,0.4776574471844321,0.914641844433318,0.6986976351385635,0.0855115183037156,0.5177747132999408,0.859169591797383,0.7364311020567935,0.0852643289603535
1,246.38844174823595,0.0520707894347029,1519,4.105990783410138,0.2318840579710069,0.4778390240342939,5.0,0.0,0.0947992100065832,0.1500987491770901,0.6984858459512837,0.2014483212639894,0.0024553786323632,0.0647324009002107,2100,0.2854454882638005,2560,314.0,8.0,183.0,0.3573016845398487,0.9993828876758784,0.7457838982270336,0.0734709162913918,0.3580124056729326,0.9524734414378656,0.7555552630960155,0.058619075702687,0.4177014808535161,0.9255693343353336,0.7042840836611363,0.068177293082586
0,177.68720727415973,0.0294211520807233,131,4.076335877862595,4.323076923076921,7.408580176160278,52.0,0.0,0.0916030534351145,0.0916030534351145,0.5648854961832062,0.0381679389312977,0.0002378310661386,0.0107833209693954,142,0.4560490400185056,1699,12.0,1.0,5.0,0.6855484219243092,0.8784806748093499,0.776925804375946,0.0446201971488953,0.7209194955336675,0.8389027554630942,0.7789997787796331,0.0357974333807507,0.6777954287305588,0.8578133501426112,0.7811261106508874,0.0471464691911092
1,214.42810062761876,0.0433314471952507,671,4.323397913561848,0.6044776119402894,1.0274168103494328,13.0,0.0,0.1564828614008941,0.1013412816691505,0.7660208643815202,0.187779433681073,0.0011073236259724,0.0385792536666148,821,0.2719292780350702,2168,180.0,7.0,98.0,0.4144890132826937,0.9520258252762284,0.7231425611926765,0.0877946303681084,0.5390432388010373,0.9520258252762284,0.733886395483212,0.0736690990645061,0.4205097012842997,0.92472447733171,0.6838119293324998,0.0717035374357026
1,203.6568809231597,0.0308005580423538,1591,3.7052168447517286,0.5389937106918171,0.7793279405864121,9.0,0.0,0.1062225015713387,0.2551854179761156,0.5971087366436204,0.0672532998114393,0.0010471674179863,0.0395049127009332,757,0.2931990032651658,918,416.0,6.0,210.0,0.3108137331362239,0.9835026436289918,0.6814240656881001,0.1088045858985654,0.3361830887049113,0.9517313979046425,0.6752861290147765,0.0958827276651755,0.3632427832931144,0.8905242733920231,0.6050361453068964,0.1027827992519325
0,245.2617098928632,0.0477185320939595,2531,4.494271039114975,0.1806324110671875,0.4492650243855324,5.0,0.0,0.2105887001185302,0.0568945080995653,0.7736072698538127,0.1438166732516791,0.0039297331075752,0.0726013729145206,3217,0.1984295057437976,1942,557.0,2.0,277.0,0.317084089527387,0.9742002603681988,0.6063411463001708,0.080028787115349,0.3505488572112458,0.9485808945142086,0.6027136376287655,0.0652229086110748,0.3962213002361965,0.8317956652959947,0.5956388122659848,0.0864769466132396
0,146.44689468957426,0.0293929121630952,741,4.421052631578948,1.6270270270270255,2.352857779091748,31.0,0.0,0.1862348178137652,0.0809716599190283,0.7557354925775979,0.0256410256410256,0.0003492333222618,0.0042201483344969,137,0.1546056742907136,627,29.0,1.0,17.0,0.4604609016299025,0.8974591475051524,0.701395334313461,0.0818698590547613,0.4880220984229966,0.8974591475051524,0.7142042670789692,0.0831547336472402,0.5157634082108464,0.8214252082043293,0.7230451785201524,0.0723529476795796
1,170.01957306204716,0.0391910634692317,237,4.274261603375527,2.4322033898304976,4.873687604791134,39.0,0.0,0.1772151898734177,0.0632911392405063,0.6835443037974683,0.1181434599156118,0.0006791400938423,0.0280839434174511,480,0.3208768494342907,2111,48.0,2.0,22.0,0.4665400593942004,0.9452858419593474,0.6287091393671557,0.0722702664201098,0.4799065351178471,0.9167899313590764,0.6224780149042461,0.0627126475591621,0.503040727963724,0.7359482507054176,0.6151484665910925,0.0594487392869277
1,169.9764467923625,0.0384722827534248,3796,4.76159114857745,0.1038208168642939,0.3523752515590393,7.0,0.0,0.1870389884088514,0.0355637513171759,0.8948893572181243,0.065595363540569,0.0012377903858774,0.0446068585152471,942,0.315299863021857,2212,405.0,4.0,199.0,0.2764321485373314,0.991745683986945,0.6135633766534061,0.1184224969079223,0.3396551274051636,0.9751588781883412,0.6132397356034773,0.1029223415639253,0.3070808110874017,0.9520224143028474,0.5705161208920999,0.1113365987949394
